Current,Current Setting,Current Uncertainty,Voltage,Voltage Setting,Voltage Uncertainty,Resistance
7.71,20,0.057825,1.319,2,0.0032975,171.076524
9.51,20,0.071325,2.01,20,0.01,211.3564669
12.26,20,0.09195,3.37,20,0.01,274.8776509
15.82,20,0.11865,5.28,20,0.0132,333.7547408
18.88,20,0.1416,7.14,20,0.01785,378.1779661
20.6,200,0.1545,8.3,20,0.02075,402.9126214
21.1,200,0.15825,8.35,20,0.020875,395.7345972
21.9,200,0.16425,9.25,20,0.023125,422.3744292
23.3,200,0.17475,10.17,20,0.025425,436.4806867
25.8,200,0.1935,12.08,20,0.0302,468.2170543
26.9,200,0.20175,12.89,20,0.032225,479.1821561
29.4,200,0.2205,14.94,20,0.03735,508.1632653
31.6,200,0.237,16.87,20,0.042175,533.8607595
32.8,200,0.246,17.92,20,0.0448,546.3414634
34.9,200,0.26175,19.88,20,0.0497,569.6275072
35.8,200,0.2685,20.8,200,0.1,581.0055866
36.8,200,0.276,21.8,200,0.1,592.3913043
38.1,200,0.28575,23.1,200,0.1,606.2992126
38.7,200,0.29025,23.8,200,0.1,614.9870801
39.9,200,0.29925,24.9,200,0.1,624.0601504